ut	name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded
1695613680.0	ABANS ELECTRICALS PLC	ABAN.N0000	395	10	157.75	164.0	164.0	156.0	156.25
1695613680.0	ACCESS ENGINEERING PLC	AEL.N0000	40996	46	19.5	19.6	19.8	19.5	19.5
1695613680.0	ACL CABLES PLC	ACL.N0000	43137	46	78.8	79.5	79.9	78.2	78.5
1695613680.0	ACL PLASTICS PLC	APLA.N0000	1005	9	402.25	394.0	401.5	390.0	390.25
1695613680.0	AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	10746	39	32.2	32.2	33.8	32.2	33.2
1695613680.0	AGARAPATANA PLANTATIONS LIMITED	AGPL.N0000	246732	61	9.1	9.2	9.2	9.0	9.0
1695613680.0	AGSTAR PLC	AGST.N0000	306162	107	10.1	10.3	10.3	9.9	10.0
1695613680.0	AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	4903	11	79.6	78.0	78.5	77.5	78.5
1695613680.0	AITKEN SPENCE PLC	SPEN.N0000	880	10	138.0	137.0	137.0	135.25	135.5
1695613680.0	ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	16844	107	91.6	94.0	94.0	90.0	90.3
1695613680.0	ALPHA FIRE SERVICES PLC	AFS.N0000	404	14	35.0	34.1	34.8	33.0	33.6
1695613680.0	ALUMEX PLC	ALUM.N0000	454002	89	9.6	9.8	9.9	9.6	9.7
1695613680.0	AMANA BANK PLC	ABL.N0000	108877	15	2.4	2.4	2.4	2.3	2.4
1695613680.0	AMANA TAKAFUL LIFE PLC	ATLL.N0000	563555	2	30.0	29.0	29.0	29.0	29.0
1695613680.0	AMANA TAKAFUL PLC	ATL.N0000	600	1	12.7	12.8	12.8	12.8	12.8
1695613680.0	AMBEON CAPITAL PLC	TAP.N0000	50090	6	9.0	9.2	9.2	9.1	9.1
1695613680.0	AMBEON HOLDINGS PLC	GREG.N0000	2760	6	35.4	35.0	36.0	35.0	35.3
1695613680.0	ASIA ASSET FINANCE PLC	AAF.N0000	16305	13	14.0	14.0	14.1	14.0	14.0
1695613680.0	ASIA CAPITAL PLC	ACAP.N0000	1057	3	4.0	3.8	4.0	3.8	3.8
